id,value
flare,
flare.positive,
flare.positive.positive,
flare.positive.positive.new,1010
flare.positive.positive.good,633
flare.positive.positive.much,424
flare.positive.positive.great,340
flare.positive.positive.best,302
flare.positive.positive.nice,284
flare.positive.positive.real,264
flare.positive.positive.many,228
flare.positive.positive.top,210
flare.positive.positive.old,206
flare.positive.positive.next,174
flare.positive.positive.full,173
flare.positive.positive.free,135
flare.positive.positive.black,134
flare.positive.positive.able,132
flare.positive.positive.right,125
flare.positive.positive.different,122
flare.positive.positive.big,121
flare.negative,
flare.negative.negative,
flare.negative.negative.new,391
flare.negative.negative.bad,371
flare.negative.negative.stupid,368
flare.negative.negative.black,291
flare.negative.negative.wrong,270
flare.negative.negative.expensive,251
flare.negative.negative.fake,174
flare.negative.negative.big,165
flare.negative.negative.much,158
flare.negative.negative.first,142
flare.negative.negative.fail,136
flare.negative.negative.top,135
flare.negative.negative.little,133
flare.negative.negative.hard,126
flare.negative.negative.good,124
flare.negative.negative.least,119
flare.negative.negative.next,114
flare.negative.negative.dumb,110
flare.neutral,
flare.neutral.neutral,
flare.neutral.neutral.next,189
flare.neutral.neutral.big,127
flare.neutral.neutral.expensive,96
flare.neutral.neutral.different,86
flare.neutral.neutral.chinese,62
flare.neutral.neutral.red,60
flare.neutral.neutral.last,58
flare.neutral.neutral.pro,46
flare.neutral.neutral.simple,46
