id,value
flare,
flare.positive,
flare.positive.positive,
flare.positive.positive.samsung,554
flare.positive.positive.people,431
flare.positive.positive.face,409
flare.positive.positive.video,405
flare.positive.positive.screen,401
flare.positive.positive.price,355
flare.positive.positive.camera,350
flare.positive.positive.id,300
flare.positive.positive.s8,292
flare.positive.positive.money,282
flare.positive.positive.time,268
flare.positive.positive.design,247
flare.positive.positive.look,235
flare.positive.positive.note,216
flare.positive.positive.display,213
flare.positive.positive.button,208
flare.positive.positive.features,207
flare.positive.positive.home,198
flare.negative,
flare.negative.negative,
flare.negative.negative.face,1431
flare.negative.negative.id,973
flare.negative.negative.people,547
flare.negative.negative.samsung,444
flare.negative.negative.time,417
flare.negative.negative.screen,366
flare.negative.negative.sh*t,315
flare.negative.negative.camera,308
flare.negative.negative.button,288
flare.negative.negative.unlock,284
flare.negative.negative.passcode,280
flare.negative.negative.f*ck,260
flare.negative.negative.price,258
flare.negative.negative.video,255
flare.negative.negative.look,242
flare.negative.negative.design,238
flare.negative.negative.hate,225
flare.negative.negative.money,216
flare.neutral,
flare.neutral.neutral,
flare.neutral.neutral.face,1223
flare.neutral.neutral.pwm,962
flare.neutral.neutral.id,797
flare.neutral.neutral.samsung,698
flare.neutral.neutral.button,405
flare.neutral.neutral.s8,334
flare.neutral.neutral.unlock,329
flare.neutral.neutral.video,319
flare.neutral.neutral.jack,277
flare.neutral.neutral.people,272
flare.neutral.neutral.screen,269
flare.neutral.neutral.fingerprint,269
flare.neutral.neutral.note,247
flare.neutral.neutral.galaxy,244
flare.neutral.neutral.camera,232
flare.neutral.neutral.scanner,220
flare.neutral.neutral.passcode,220
flare.neutral.neutral.power,210
